image_name,music_name,render_name
blackstar_01.png,civil rights policing remix (0a10ff92bf6d46998b4c46c5285c954c).wav,blackstar_01.mp4
blackstar_02.png,civil rights policing remix (9cfc9565884b4578812bd0821891d808).wav,blackstar_02.mp4
blackstar_03.png,civil rights policing remix (0d675d0776f84d17923e15a3be16120b).wav,blackstar_03.mp4
blackstar_04.png,civil rights policing remix (ee2b73ab34f04976abd2f84b30e42b47).wav,blackstar_04.mp4
blackstar_05.png,civil rights policing remix (0663b07a86c24b628868a930a096616c).wav,blackstar_05.mp4
blackstar_07.png,civil rights policing remix (c6e36407f7974a9c966b07ecb78bd576).wav,blackstar_06.mp4
blackstar_13.png,civil rights policing remix (d3a64ddb1268456b946ed43b792f024b).wav,blackstar_07.mp4
blackstar_08.png,civil rights policing remix (0740da4dfc204fe6a4e81fa237f0e484).wav,blackstar_08.mp4
blackstar_09.png,civil rights policing remix (ce6d78becfe44b3298dba57f86963305).wav,blackstar_09.mp4
blackstar_17.png,civil rights policing remix (700eeb4b38624c7693e39e18c0168028).wav,blackstar_10.mp4
